awayAbbrev,homeAbbrev,est,id
SEA,ANA,2024 November 25 22:00:00,2024020343
LAK,SJS,2024 November 25 22:30:00,2024020344
VAN,BOS,2024 November 26 19:00:00,2024020345
UTA,MTL,2024 November 26 19:00:00,2024020346
MIN,BUF,2024 November 27 19:00:00,2024020347
STL,NJD,2024 November 27 19:00:00,2024020348
NYR,CAR,2024 November 27 19:00:00,2024020349
CGY,DET,2024 November 27 19:30:00,2024020350
WSH,TBL,2024 November 27 19:30:00,2024020351
TOR,FLA,2024 November 27 19:30:00,2024020352
BOS,NYI,2024 November 27 19:30:00,2024020353
VAN,PIT,2024 November 27 19:30:00,2024020354
MTL,CBJ,2024 November 27 19:30:00,2024020355
PHI,NSH,2024 November 27 20:00:00,2024020356
DAL,CHI,2024 November 27 20:30:00,2024020357
VGK,COL,2024 November 27 22:00:00,2024020358
WPG,LAK,2024 November 27 22:00:00,2024020359
ANA,SEA,2024 November 27 22:00:00,2024020360
OTT,SJS,2024 November 27 22:30:00,2024020361
NYR,PHI,2024 November 29 13:00:00,2024020362
CHI,MIN,2024 November 29 14:00:00,2024020363
VAN,BUF,2024 November 29 15:00:00,2024020364
NJD,DET,2024 November 29 15:00:00,2024020365
NYI,WSH,2024 November 29 15:00:00,2024020366
FLA,CAR,2024 November 29 15:00:00,2024020367
CGY,CBJ,2024 November 29 15:00:00,2024020368
TBL,NSH,2024 November 29 15:00:00,2024020369
LAK,ANA,2024 November 29 15:30:00,2024020370
SEA,SJS,2024 November 29 15:30:00,2024020371
PIT,BOS,2024 November 29 18:30:00,2024020372
COL,DAL,2024 November 29 21:00:00,2024020373
WPG,VGK,2024 November 29 20:30:00,2024020374
EDM,UTA,2024 November 29 21:00:00,2024020375
MTL,NYR,2024 November 30 13:00:00,2024020376
CAR,FLA,2024 November 30 16:00:00,2024020377
TOR,TBL,2024 November 30 19:00:00,2024020378
WSH,NJD,2024 November 30 19:00:00,2024020379
CGY,PIT,2024 November 30 19:00:00,2024020380
PHI,STL,2024 November 30 19:00:00,2024020381
OTT,LAK,2024 November 30 19:00:00,2024020382
BUF,NYI,2024 November 30 19:30:00,2024020383
NSH,MIN,2024 November 30 20:00:00,2024020384
EDM,COL,2024 November 30 22:00:00,2024020385
UTA,VGK,2024 November 30 22:00:00,2024020386
SJS,SEA,2024 November 30 22:00:00,2024020387
VAN,DET,2024 December 01 12:30:00,2024020388
MTL,BOS,2024 December 01 15:00:00,2024020389
CBJ,CHI,2024 December 01 15:00:00,2024020390
WPG,DAL,2024 December 01 16:30:00,2024020391
OTT,ANA,2024 December 01 20:00:00,2024020392
NJD,NYR,2024 December 02 19:00:00,2024020393
CHI,TOR,2024 December 02 19:30:00,2024020394
DAL,UTA,2024 December 02 21:00:00,2024020395
DET,BOS,2024 December 03 19:00:00,2024020396
COL,BUF,2024 December 03 19:00:00,2024020397
NYI,MTL,2024 December 03 19:00:00,2024020398
FLA,PIT,2024 December 03 19:00:00,2024020399
SJS,WSH,2024 December 03 19:00:00,2024020400
SEA,CAR,2024 December 03 19:00:00,2024020401
VAN,MIN,2024 December 03 20:00:00,2024020402
STL,WPG,2024 December 03 20:00:00,2024020403
CBJ,CGY,2024 December 03 21:00:00,2024020404
EDM,VGK,2024 December 03 22:00:00,2024020405
NSH,TOR,2024 December 04 19:30:00,2024020406
BOS,CHI,2024 December 04 19:30:00,2024020407
VGK,ANA,2024 December 04 22:00:00,2024020408
DAL,LAK,2024 December 04 22:00:00,2024020409
WPG,BUF,2024 December 05 19:00:00,2024020410
NSH,MTL,2024 December 05 19:00:00,2024020411
DET,OTT,2024 December 05 19:00:00,2024020412
SJS,TBL,2024 December 05 19:00:00,2024020413
FLA,PHI,2024 December 05 19:00:00,2024020414
COL,CAR,2024 December 05 19:00:00,2024020415
SEA,NYI,2024 December 05 19:30:00,2024020416
STL,CGY,2024 December 05 21:00:00,2024020417
CBJ,EDM,2024 December 05 21:00:00,2024020418
WSH,TOR,2024 December 06 19:00:00,2024020419
SEA,NJD,2024 December 06 19:00:00,2024020420
PIT,NYR,2024 December 06 19:30:00,2024020421
CBJ,VAN,2024 December 06 22:00:00,2024020422
DAL,VGK,2024 December 06 22:00:00,2024020423
MIN,ANA,2024 December 06 22:00:00,2024020424
PHI,BOS,2024 December 07 13:00:00,2024020425
UTA,BUF,2024 December 07 13:00:00,2024020426
WPG,CHI,2024 December 07 16:00:00,2024020427
CAR,NYI,2024 December 07 17:00:00,2024020428
SJS,FLA,2024 December 07 18:00:00,2024020429
WSH,MTL,2024 December 07 19:00:00,2024020430
NSH,OTT,2024 December 07 19:00:00,2024020431
COL,DET,2024 December 07 19:00:00,2024020432
TOR,PIT,2024 December 07 19:00:00,2024020433
MIN,LAK,2024 December 07 20:00:00,2024020434
STL,EDM,2024 December 07 22:00:00,2024020435
SEA,NYR,2024 December 08 13:00:00,2024020436
TBL,VAN,2024 December 08 16:00:00,2024020437
NYI,OTT,2024 December 08 17:00:00,2024020438
CBJ,WPG,2024 December 08 18:00:00,2024020439
COL,NJD,2024 December 08 19:00:00,2024020440
UTA,PHI,2024 December 08 19:30:00,2024020441
CGY,DAL,2024 December 08 20:00:00,2024020442
DET,BUF,2024 December 09 19:00:00,2024020443
CHI,NYR,2024 December 09 19:00:00,2024020444
ANA,MTL,2024 December 09 19:30:00,2024020445
TOR,NJD,2024 December 10 19:00:00,2024020446
COL,PIT,2024 December 10 19:00:00,2024020447
SJS,CAR,2024 December 10 19:00:00,2024020448
PHI,CBJ,2024 December 10 19:00:00,2024020449
LAK,NYI,2024 December 10 19:30:00,2024020450
CGY,NSH,2024 December 10 20:00:00,2024020451
BOS,WPG,2024 December 10 20:00:00,2024020452
TBL,EDM,2024 December 10 21:00:00,2024020453
MIN,UTA,2024 December 10 21:30:00,2024020454
STL,VAN,2024 December 10 22:00:00,2024020455
FLA,SEA,2024 December 10 22:00:00,2024020456
NYR,BUF,2024 December 11 19:00:00,2024020457
ANA,OTT,2024 December 11 19:30:00,2024020458
ANA,TOR,2024 December 12 19:00:00,2024020459
PIT,MTL,2024 December 12 19:00:00,2024020460
LAK,NJD,2024 December 12 19:00:00,2024020461
DET,PHI,2024 December 12 19:00:00,2024020462
WSH,CBJ,2024 December 12 19:00:00,2024020463
CHI,NYI,2024 December 12 19:30:00,2024020464
SJS,STL,2024 December 12 20:00:00,2024020465
NSH,DAL,2024 December 12 20:00:00,2024020466
EDM,MIN,2024 December 12 20:30:00,2024020467
VGK,WPG,2024 December 12 20:00:00,2024020468
UTA,COL,2024 December 12 21:00:00,2024020469
TBL,CGY,2024 December 12 21:00:00,2024020470
FLA,VAN,2024 December 12 22:00:00,2024020471
BOS,SEA,2024 December 12 22:00:00,2024020472
OTT,CAR,2024 December 13 19:00:00,2024020473
CHI,NJD,2024 December 14 13:00:00,2024020474
LAK,NYR,2024 December 14 13:00:00,2024020475
PHI,MIN,2024 December 14 14:00:00,2024020476
VGK,EDM,2024 December 14 16:00:00,2024020477
PIT,OTT,2024 December 14 19:00:00,2024020478
TOR,DET,2024 December 14 19:00:00,2024020479
BUF,WSH,2024 December 14 19:00:00,2024020480
ANA,CBJ,2024 December 14 19:00:00,2024020481
MTL,WPG,2024 December 14 19:00:00,2024020482
STL,DAL,2024 December 14 20:00:00,2024020483
NSH,COL,2024 December 14 21:00:00,2024020484
FLA,CGY,2024 December 14 22:00:00,2024020485
BOS,VAN,2024 December 14 22:00:00,2024020486
UTA,SJS,2024 December 14 22:00:00,2024020487
TBL,SEA,2024 December 14 22:00:00,2024020488
NYI,CHI,2024 December 15 15:00:00,2024020489
BUF,TOR,2024 December 15 17:00:00,2024020490
CBJ,CAR,2024 December 15 17:00:00,2024020491
NYR,STL,2024 December 15 18:00:00,2024020492
VGK,MIN,2024 December 15 18:00:00,2024020493
WSH,DAL,2024 December 16 20:00:00,2024020494
FLA,EDM,2024 December 16 20:30:00,2024020495
COL,VAN,2024 December 16 22:30:00,2024020496
BUF,MTL,2024 December 17 19:00:00,2024020497
CBJ,TBL,2024 December 17 19:00:00,2024020498
LAK,PIT,2024 December 17 19:00:00,2024020499
NYI,CAR,2024 December 17 19:30:00,2024020500
NJD,STL,2024 December 17 20:00:00,2024020501
NYR,NSH,2024 December 17 20:00:00,2024020502
WSH,CHI,2024 December 17 20:30:00,2024020503
BOS,CGY,2024 December 17 21:00:00,2024020504
OTT,SEA,2024 December 17 22:00:00,2024020505
WPG,SJS,2024 December 17 22:30:00,2024020506
PHI,DET,2024 December 18 19:00:00,2024020507
TOR,DAL,2024 December 18 19:30:00,2024020508
FLA,MIN,2024 December 18 21:30:00,2024020509
VAN,UTA,2024 December 18 22:00:00,2024020510
WPG,ANA,2024 December 18 22:00:00,2024020511
STL,TBL,2024 December 19 19:00:00,2024020512
LAK,PHI,2024 December 19 19:30:00,2024020513
NJD,CBJ,2024 December 19 19:00:00,2024020514
PIT,NSH,2024 December 19 20:00:00,2024020515
SEA,CHI,2024 December 19 20:30:00,2024020516
OTT,CGY,2024 December 19 21:00:00,2024020517
BOS,EDM,2024 December 19 21:00:00,2024020518
VAN,VGK,2024 December 19 22:00:00,2024020519
COL,SJS,2024 December 19 22:30:00,2024020520
TOR,BUF,2024 December 20 19:00:00,2024020521
MTL,DET,2024 December 20 19:00:00,2024020522
STL,FLA,2024 December 20 19:00:00,2024020523
CAR,WSH,2024 December 20 19:00:00,2024020524
NYR,DAL,2024 December 20 20:00:00,2024020525
UTA,MIN,2024 December 20 20:00:00,2024020526
COL,ANA,2024 December 20 22:00:00,2024020527
LAK,NSH,2024 December 21 13:30:00,2024020528
CHI,CGY,2024 December 21 16:00:00,2024020529
SJS,EDM,2024 December 21 16:00:00,2024020530
BUF,BOS,2024 December 21 19:00:00,2024020531
NYI,TOR,2024 December 21 19:00:00,2024020532
DET,MTL,2024 December 21 19:00:00,2024020533
PIT,NJD,2024 December 21 19:00:00,2024020534
CBJ,PHI,2024 December 21 19:00:00,2024020535
MIN,WPG,2024 December 21 19:00:00,2024020536
OTT,VAN,2024 December 21 22:00:00,2024020537
SEA,VGK,2024 December 21 22:00:00,2024020538
